Municipi,Comarca,Altitud (m),Superfície (km²),Població,Longitud,Latitud
Espot,Pallars Sobirà,1318,97,377.0,42.5758342,1.0879541
Espunyola,Berguedà,803,36,265.0,42.0535683,1.7712445
Esquirol,Osona,693,62,2245.0,42.0348437,2.3700711
Estamariu,Alt Urgell,1084,21,128.0,42.3731557,1.5228293
Estany,Moianès,870,10,391.0,41.8755064,2.1106617
Estaràs,Segarra,596,21,169.0,41.6916073,1.3783625
Esterri d'Àneu,Pallars Sobirà,957,9,841.0,42.6269227,1.1227106
Esterri de Cardós,Pallars Sobirà,1212,17,62.0,42.5927358,1.2617265
Falset,Priorat,364,32,2740.0,41.1454006,0.8204726
Far d'Empordà,Alt Empordà,44,9,625.0,42.2520881,2.9956836
Farrera,Pallars Sobirà,1294,62,121.0,42.497024,1.2719532
Fatarella,Terra Alta,487,57,891.0,41.1621105,0.4736798
Febró,Baix Camp,754,16,39.0,41.2775913,1.0043284
Figaró-Montmany,Vallès Oriental,330,15,1108.0,41.7208204,2.2736559
Fígols,Berguedà,1154,29,45.0,42.1680787,1.7879685
Fígols i Alinyà,Alt Urgell,602,102,266.0,42.1981887,1.3951694
Figuera,Priorat,576,19,123.0,41.2160813,0.7310074
Figueres,Alt Empordà,39,19,47088.0,42.2655066,2.9581046
Figuerola del Camp,Alt Camp,474,23,332.0,41.3714085,1.2653356
Flaçà,Gironès,34,7,1130.0,42.0450143,2.9625587
Flix,Ribera d'Ebre,47,117,3426.0,41.2281062,0.5435091
Floresta,Garrigues,316,6,154.0,41.5107312,0.9205739
Fogars de la Selva,Selva,45,32,1564.0,41.7273226,2.6786163
Fogars de Montclús,Vallès Oriental,386,40,493.0,41.7274934,2.4428424
Foixà,Baix Empordà,85,19,288.0,42.0399835,2.9975238
Folgueroles,Osona,552,11,2254.0,41.940098,2.3162571
Fondarella,Pla d'Urgell,243,5,778.0,41.634355,0.8740871
Fonollosa,Bages,525,52,1546.0,41.7577002,1.7246856
Fontanals de Cerdanya,Cerdanya,1180,29,533.0,42.387655,1.9196949
Fontanilles,Baix Empordà,29,9,163.0,42.0113688,3.1127413
Fontcoberta,Pla de l'Estany,207,17,1466.0,42.1472253,2.7724117
Font-rubí,Alt Penedès,319,37,1446.0,41.4347024,1.5910701
Foradada,Noguera,455,29,191.0,41.8768861,1.0129973
Forallac,Baix Empordà,51,51,1765.0,41.9476764,3.0876783
Forès,Conca de Barberà,866,16,48.0,41.4924767,1.23587
Fornells de la Selva,Gironès,102,12,2693.0,41.9312102,2.8116007
Fortià,Alt Empordà,8,11,778.0,42.2441155,3.0413461
Franqueses del Vallès,Vallès Oriental,181,29,20322.0,41.6478275,2.3123031
Freginals,Montsià,126,18,388.0,40.6722143,0.5204658
Fuliola,Urgell,275,11,1238.0,41.7150982,1.0167344
Fulleda,Garrigues,581,16,98.0,41.4632915,1.0242097
Gaià,Bages,481,40,179.0,41.9164297,1.9253448
Galera,Montsià,112,28,,40.6818426,0.4631743
Gallifa,Vallès Occidental,502,16,186.0,41.6939066,2.1151912
Gandesa,Terra Alta,363,71,3.0,41.0524377,0.4372669
Garcia,Ribera d'Ebre,73,52,527.0,41.1364174,0.6506283
Garidells,Alt Camp,132,3,196.0,41.2074549,1.2475459
Garriga,Vallès Oriental,252,19,16788.0,41.6933493,2.2778128
Garrigàs,Alt Empordà,101,20,458.0,42.1927719,2.9544372
Garrigoles,Baix Empordà,92,9,177.0,42.102769,3.0225754
Garriguella,Alt Empordà,56,21,922.0,42.3444248,3.0638805
Gavà,Baix Llobregat,9,31,46974.0,41.2987914,1.9930466
Gavet de la Conca,Pallars Jussà,421,91,261.0,42.122861,0.9210213
Gelida,Alt Penedès,196,27,7814.0,41.4399149,1.8672009
Ger,Cerdanya,1135,33,512.0,42.4115966,1.845855
Gimenells i el Pla de la Font,Segrià,258,56,1109.0,41.6603639,0.3936722
Ginestar,Ribera d'Ebre,26,16,790.0,41.0417854,0.6334662
Girona,Gironès,70,39,102666.0,41.9794005,2.8214264
Gironella,Berguedà,469,7,4940.0,42.0343553,1.8818441
Gisclareny,Berguedà,1340,37,28.0,42.2717296,1.7830973
Godall,Montsià,168,34,609.0,40.6546716,0.4696996
Golmés,Pla d'Urgell,275,17,1893.0,41.6324739,0.9322549
Gombrèn,Ripollès,919,43,,42.2477628,2.0907311
Gósol,Berguedà,1423,56,233.0,42.237224,1.6596733
Granada,Alt Penedès,272,7,2207.0,,
Granadella,Garrigues,528,89,724.0,,
Granera,Moianès,782,24,80.0,,
Granja d'Escarp,Segrià,78,39,923.0,,
Granollers,Vallès Oriental,145,15,61983.0,,
Granyanella,Segarra,508,24,136.0,,
Granyena de les Garrigues,Garrigues,366,21,147.0,,
Granyena de Segarra,Segarra,636,16,157.0,,
Gratallops,Priorat,321,14,236.0,,
Gualba,Vallès Oriental,177,23,1610.0,,
Gualta,Baix Empordà,15,9,439.0,,
Guardiola de Berguedà,Berguedà,720,62,918.0,,
Guiamets,Priorat,226,12,279.0,,
Guils de Cerdanya,Cerdanya,1385,22,573.0,,
Guimerà,Urgell,555,26,261.0,,
Guingueta d'Àneu,Pallars Sobirà,919,108,298.0,,
Guissona,Segarra,484,18,7390.0,,
Guixers,Solsonès,840,66,132.0,,
Gurb,Osona,516,52,2702.0,,
Horta de Sant Joan,Terra Alta,542,119,1154.0,,
Hospitalet de Llobregat,Barcelonès,8,12,265444.0,,
Hostalets de Pierola,Anoia,361,34,3127.0,,
Hostalric,Selva,189,3,4370.0,,
Igualada,Anoia,313,8,40767.0,,
Isona i Conca Dellà,Pallars Jussà,659,139,1057.0,,
Isòvol,Cerdanya,1088,11,318.0,,
Ivars d'Urgell,Pla d'Urgell,265,24,1560.0,,
Ivars de Noguera,Noguera,314,27,327.0,,
Ivorra,Segarra,567,15,,,
Jafre,Baix Empordà,44,7,386.0,,
Jonquera,Alt Empordà,110,57,3317.0,,
Jorba,Anoia,380,31,806.0,,
Josa i Tuixén,Alt Urgell,1206,68,105.0,,
Juià,Gironès,94,8,334.0,,
Juncosa,Garrigues,575,77,401.0,,
Juneda,Garrigues,264,47,3558.0,,
Les,Val d'Aran,634,24,970.0,,
Linyola,Pla d'Urgell,248,29,2723.0,,
Llacuna,Anoia,615,52,942.0,,
Lladó,Alt Empordà,197,14,827.0,,
Lladorre,Pallars Sobirà,1052,147,254.0,,
Lladurs,Solsonès,834,128,190.0,,
Llagosta,Vallès Oriental,45,3,13155.0,,
Llagostera,Gironès,160,76,9024.0,,
Llambilles,Gironès,143,15,731.0,,
Llanars,Ripollès,983,25,533.0,,
Llançà,Alt Empordà,4,28,4905.0,,
Llardecans,Segrià,397,66,421.0,,
Llavorsí,Pallars Sobirà,811,69,343.0,,
Lleida,Segrià,155,212,140797.0,,
Llers,Alt Empordà,142,21,1245.0,,
Lles de Cerdanya,Cerdanya,1471,103,286.0,,
Lliçà d'Amunt,Vallès Oriental,145,22,15801.0,,
Lliçà de Vall,Vallès Oriental,125,11,6760.0,,
Llimiana,Pallars Jussà,790,42,146.0,,
Llinars del Vallès,Vallès Oriental,198,28,10205.0,,
Llívia,Cerdanya,1224,13,1495.0,,
Lloar,Priorat,219,7,104.0,,
Llobera,Solsonès,855,39,202.0,,
Llorac,Conca de Barberà,648,23,96.0,,
Llorenç del Penedès,Baix Penedès,162,5,2393.0,,
Lloret de Mar,Selva,5,49,38941.0,,
Llosses,Ripollès,895,114,205.0,,
Lluçà,Osona,745,53,279.0,,
Maçanet de Cabrenys,Alt Empordà,370,68,724.0,,
Maçanet de la Selva,Selva,100,46,7572.0,,
Madremanya,Gironès,177,14,302.0,,
Maià de Montcal,Garrotxa,241,17,462.0,,
