Municipi,Comarca,Altitud (m),Superfície (km²),Població
Naut Aran,Val d'Aran,1267,256,1923
Navarcles,Bages,269,6,6067
Navàs,Bages,370,81,6018
Navata,Alt Empordà,145,19,1465
Navès,Solsonès,610,145,305
Nou de Berguedà,Berguedà,876,25,179
Nou de Gaià,Tarragonès,93,4,636
Nulles,Alt Camp,231,11,541
Odèn,Solsonès,1130,114,252
Òdena,Anoia,421,53,3728
Ogassa,Ripollès,951,45,222
Olèrdola,Alt Penedès,189,30,3884
Olesa de Bonesvalls,Alt Penedès,265,31,2016
Olesa de Montserrat,Baix Llobregat,124,17,24272
Oliana,Alt Urgell,469,32,1849
Oliola,Noguera,452,86,196
Olius,Solsonès,742,55,985
Olivella,Garraf,211,39,4339
Olost,Osona,572,29,1206
Olot,Garrotxa,443,29,36716
Oluges,Segarra,528,19,166
Olvan,Berguedà,553,36,876
Omellons,Garrigues,385,11,198
Omells de na Gaia,Urgell,560,14,127
Ordis,Alt Empordà,98,9,373
Organyà,Alt Urgell,558,13,796
Orís,Osona,576,27,347
Oristà,Osona,468,69,573
Orpí,Anoia,375,15,159
Òrrius,Maresme,259,6,793
Os de Balaguer,Noguera,463,136,1046
Osor,Selva,340,52,423
Ossó de Sió,Urgell,391,26,193
Pacs del Penedès,Alt Penedès,201,6,935
Palafolls,Maresme,16,17,9661
Palafrugell,Baix Empordà,64,27,23396
Palamós,Baix Empordà,12,14,18145
Palau d'Anglesola,Pla d'Urgell,250,12,2191
Palau de Santa Eulàlia,Alt Empordà,86,8,115
Palau-sator,Baix Empordà,20,12,327
Palau-saverdera,Alt Empordà,78,17,1472
Palau-solità i Plegamans,Vallès Occidental,130,15,14911
Pallaresos,Tarragonès,120,5,4930
Pallejà,Baix Llobregat,41,8,11593
Palma d'Ebre,Ribera d'Ebre,335,38,341
Palma de Cervelló,Baix Llobregat,100,6,3026
Palol de Revardit,Pla de l'Estany,152,18,457
Pals,Baix Empordà,55,26,2548
Papiol,Baix Llobregat,135,9,4274
Pardines,Ripollès,1226,31,165
Parets del Vallès,Vallès Oriental,98,9,18889
Parlavà,Baix Empordà,40,6,415
Passanant i Belltall,Conca de Barberà,714,27,170
Pau,Alt Empordà,33,11,579
Paüls,Baix Ebre,378,44,566
Pedret i Marzà,Alt Empordà,22,9,181
Penelles,Noguera,276,26,430
Pera,Baix Empordà,93,12,438
Perafita,Osona,754,20,418
Perafort,Tarragonès,125,10,1292
Peralada,Alt Empordà,32,44,1974
Peramola,Alt Urgell,566,56,348
Perelló,Baix Ebre,142,101,2885
Piera,Anoia,324,57,16787
Piles,Conca de Barberà,676,22,224
Pineda de Mar,Maresme,10,11,28083
Pinell de Brai,Terra Alta,189,57,0
Pinell de Solsonès,Solsonès,800,91,190
Pinós,Solsonès,823,104,291
Pira,Conca de Barberà,385,8,489
Pla de Santa Maria,Alt Camp,381,35,2340
Pla del Penedès,Alt Penedès,216,10,1335
Planes d'Hostoles,Garrotxa,370,38,1745
Planoles,Ripollès,1136,19,307
Plans de Sió,Segarra,412,56,490
Poal,Pla d'Urgell,216,9,667
Pobla de Cérvoles,Garrigues,663,62,209
Pobla de Claramunt,Anoia,265,19,2275
Pobla de Lillet,Berguedà,843,52,1079
Pobla de Mafumet,Tarragonès,98,6,4052
Pobla de Massaluca,Terra Alta,357,43,340
Pobla de Montornès,Tarragonès,56,12,3101
Pobla de Segur,Pallars Jussà,524,33,3055
Poboleda,Priorat,343,14,327
Polinyà,Vallès Occidental,123,9,8451
Pont d'Armentera,Alt Camp,349,22,492
Pont de Bar,Alt Urgell,861,43,163
Pont de Molins,Alt Empordà,43,9,542
Pont de Suert,Alta Ribagorça,838,148,2336
Pont de Vilomara i Rocafort,Bages,202,27,4024
Pontils,Conca de Barberà,551,68,133
Pontons,Alt Penedès,584,26,507
Pontós,Alt Empordà,94,14,274
Ponts,Noguera,363,31,2661
Porqueres,Pla de l'Estany,148,34,4712
Porrera,Priorat,316,29,429
Port de la Selva,Alt Empordà,12,42,1015
Portbou,Alt Empordà,28,9,1090
Portella,Segrià,259,12,718
Pradell de la Teixeta,Priorat,463,22,172
Prades,Baix Camp,950,33,625
Prat de Comte,Terra Alta,363,26,186
Prat de Llobregat,Baix Llobregat,8,31,65030
Pratdip,Baix Camp,245,36,693
Prats de Lluçanès,Osona,707,14,2627
Prats de Rei,Anoia,608,26,554
Prats i Sansor,Cerdanya,1124,7,260
Preixana,Urgell,328,22,404
Preixens,Noguera,315,29,422
Premià de Dalt,Maresme,142,7,10
Premià de Mar,Maresme,8,2,28518
Preses,Garrotxa,474,9,1875
Prullans,Cerdanya,1096,21,264
Puigcerdà,Cerdanya,1202,19,9484
Puigdàlber,Alt Penedès,239,0,555
Puiggròs,Garrigues,334,10,257
Puigpelat,Alt Camp,252,10,1199
Puig-reig,Berguedà,455,46,4327
Puigverd d'Agramunt,Urgell,366,17,253
Puigverd de Lleida,Segrià,219,13,1398
Pujalt,Anoia,770,31,204
Quar,Berguedà,885,38,47
Quart,Gironès,91,38,3906
Queralbs,Ripollès,1236,94,191
Querol,Alt Camp,565,72,572
Rabós,Alt Empordà,106,45,210
Rajadell,Bages,361,46,545
Ràpita,Montsià,11,54,14767
Rasquera,Ribera d'Ebre,174,51,822
Regencós,Baix Empordà,78,6,271
Rellinars,Vallès Occidental,322,18,915
Renau,Tarragonès,175,8,152
Reus,Baix Camp,117,53,106741
Rialp,Pallars Sobirà,725,63,675
Riba,Alt Camp,263,8,552
Riba-roja d'Ebre,Ribera d'Ebre,76,99,1131
Ribera d'Ondara,Segarra,570,55,441
Ribera d'Urgellet,Alt Urgell,702,107,920
Ribes de Freser,Ripollès,912,42,1810
Riells i Viabrea,Selva,96,27,4279
Riera de Gaià,Tarragonès,28,9,1752
Riner,Solsonès,830,47,280
Ripoll,Ripollès,691,74,10641
Ripollet,Vallès Occidental,79,4,39031
Riu de Cerdanya,Cerdanya,1173,12,
Riudarenes,Selva,84,48,2337
Riudaura,Garrotxa,572,24,511
Riudecanyes,Baix Camp,195,17,1279
Riudecols,Baix Camp,299,20,1198
Riudellots de la Selva,Selva,98,13,2072
Riudoms,Baix Camp,125,32,6721
Riumors,Alt Empordà,7,7,244
